Model,Cores,Threads,Base Clock (GHz),Boost Clock (GHz),TDP (W),Socket,Platform,Integrated Graphics,L3 Cache (MB),Manufacturer
AMD EPYC™ 9754,128.0,256.0,2.25,3.1,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9754S,128.0,128.0,2.25,3.1,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9734,112.0,224.0,2.2,3.0,340.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9654,96.0,192.0,2.4,3.7,360.0,SP5,Server,None,384.0,AMD
AMD EPYC™ 9654P,96.0,192.0,2.4,3.7,360.0,SP5,Server,None,384.0,AMD
AMD EPYC™ 9684X,96.0,192.0,2.55,3.7,400.0,SP5,Server,None,1152.0,AMD
AMD EPYC™ 9634,84.0,168.0,2.25,3.7,290.0,SP5,Server,None,384.0,AMD
AMD EPYC™ 7662,64.0,128.0,2.0,3.3,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7702,64.0,128.0,2.0,3.35,200.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7702P,64.0,128.0,2.0,3.35,200.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7713,64.0,128.0,2.0,3.675,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7713P,64.0,128.0,2.0,3.675,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7742,64.0,128.0,2.25,3.4,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7763,64.0,128.0,2.45,3.5,280.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7773X,64.0,128.0,2.2,3.5,280.0,SP3,Server,None,768.0,AMD
AMD EPYC™ 7H12,64.0,128.0,2.6,3.3,280.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 9534,64.0,128.0,2.45,3.7,280.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9554,64.0,128.0,3.1,3.75,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9554P,64.0,128.0,3.1,3.75,360.0,SP5,Server,None,256.0,AMD
AMD Ryzen™ Threadripper™ 3990X,64.0,128.0,2.9,4.3,280.0,sTRX4,Boxed Processor,None,256.0,AMD
AMD Ryzen™ Threadripper™ PRO 3995WX,64.0,128.0,2.7,4.2,280.0,sWRX8,Desktop,None,256.0,AMD
AMD Ryzen™ Threadripper™ PRO 5995WX,64.0,128.0,2.7,4.5,280.0,sWRX8,Desktop,None,256.0,AMD
AMD EPYC™ 7663,56.0,112.0,2.0,3.5,240.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7552,48.0,96.0,2.2,3.3,200.0,SP3,Server,None,192.0,AMD
AMD EPYC™ 7642,48.0,96.0,2.3,3.3,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7643,48.0,96.0,2.3,3.6,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 9454,48.0,96.0,2.75,3.8,290.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9454P,48.0,96.0,2.75,3.8,290.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9474F,48.0,96.0,3.6,4.1,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 7452,32.0,64.0,2.35,3.35,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7501,32.0,64.0,2.0,3.0,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7502,32.0,64.0,2.5,3.35,180.0,SP3,Server,None,128.0,AMD
